# Server version 0.08 running on wpa076016.wireless.mcgill.ca:8123
# Game ID: 113
# Board class: omweso.CCBoard
# Timeout: 2000
# First Move Timeout: 60000
# Date: Mon Mar 30 05:40:10 EDT 2015
# Player 1: Player-0, 'random', running on wpa076016.wireless.mcgill.ca
# Player 2: Player-1, 'XXXXXXXXX', running on wpa076016.wireless.mcgill.ca
START Player-0 random
START Player-1 XXXXXXXXX
INIT 0 true 3,1,1,2,4,3,4,2,1,0,3,1,1,5,0,1
INIT 1 true 2,8,2,1,2,6,6,5,0,0,0,0,0,0,0,0
PIT 0 10
PIT 1 0
PIT 0 8
PIT 1 1
PIT 0 10
PIT 1 2
PIT 0 7
PIT 1 7
PIT 0 5
PIT 1 8
PIT 0 14
PIT 1 9
PIT 0 0
PIT 1 1
PIT 0 10
PIT 1 10
PIT 0 1
PIT 1 2
PIT 0 15
PIT 1 3
PIT 0 0
PIT 1 5
PIT 0 4
PIT 1 7
PIT 0 6
PIT 1 8
PIT 0 13
PIT 1 9
PIT 0 12
PIT 1 10
PIT 0 12
PIT 1 11
PIT 0 3
PIT 1 12
PIT 0 0
PIT 1 0
PIT 0 13
GAMEOVER WINNER 0
# Game ended: Mon Mar 30 05:40:11 EDT 2015
