# Server version 0.08 running on wpa076016.wireless.mcgill.ca:8123
# Game ID: 171
# Board class: omweso.CCBoard
# Timeout: 2000
# First Move Timeout: 60000
# Date: Mon Mar 30 06:29:56 EDT 2015
# Player 1: Player-0, 'XXXXXXXXX', running on wpa076016.wireless.mcgill.ca
# Player 2: Player-1, 'random', running on wpa076016.wireless.mcgill.ca
START Player-0 XXXXXXXXX
START Player-1 random
INIT 0 true 5,4,0,0,3,0,4,2,1,1,2,4,1,1,4,0
INIT 1 true 5,0,3,3,5,6,5,5,0,0,0,0,0,0,0,0
PIT 0 0
PIT 1 5
PIT 0 1
PIT 1 6
PIT 0 2
PIT 1 9
PIT 0 0
PIT 1 11
PIT 0 1
PIT 1 7
PIT 0 6
PIT 1 6
PIT 0 7
PIT 1 14
PIT 0 6
PIT 1 9
PIT 0 0
PIT 1 1
PIT 0 0
PIT 1 2
PIT 0 1
PIT 1 13
PIT 0 1
PIT 1 11
PIT 0 4
PIT 1 15
PIT 0 5
PIT 1 14
PIT 0 0
PIT 1 0
PIT 0 1
PIT 1 12
PIT 0 0
PIT 1 4
PIT 0 1
GAMEOVER WINNER 0
# Game ended: Mon Mar 30 06:29:56 EDT 2015
