# Server version 0.08 running on hannans-air:8123
# Game ID: 314
# Board class: omweso.CCBoard
# Timeout: 2000
# First Move Timeout: 60000
# Date: Mon Mar 30 19:09:30 EDT 2015
# Player 1: Player-0, 'random', running on hannans-air
# Player 2: Player-1, 'XXXXXXXXX', running on hannans-air
START Player-0 random
START Player-1 XXXXXXXXX
INIT 0 true 2,1,2,2,4,6,2,1,0,1,5,1,0,2,3,0
INIT 1 true 7,3,5,2,2,5,3,5,0,0,0,0,0,0,0,0
PIT 0 14
PIT 1 0
PIT 0 13
PIT 1 6
PIT 0 12
PIT 1 1
PIT 0 0
PIT 1 2
PIT 0 8
PIT 1 0
PIT 0 7
PIT 1 3
PIT 0 9
PIT 1 0
PIT 0 3
PIT 1 1
PIT 0 10
PIT 1 2
PIT 0 11
PIT 1 3
PIT 0 13
PIT 1 5
PIT 0 12
PIT 1 0
PIT 0 14
PIT 1 1
PIT 0 1
PIT 1 6
PIT 0 6
PIT 1 3
PIT 0 7
PIT 1 4
PIT 0 8
PIT 1 2
PIT 0 12
PIT 1 0
PIT 0 13
PIT 1 1
PIT 0 10
PIT 1 12
PIT 0 12
PIT 1 1
PIT 0 11
PIT 1 8
PIT 0 4
PIT 1 0
PIT 0 5
PIT 1 3
PIT 0 6
PIT 1 1
PIT 0 7
PIT 1 2
PIT 0 10
PIT 1 0
PIT 0 11
PIT 1 3
PIT 0 12
PIT 1 0
PIT 0 13
PIT 1 1
PIT 0 14
PIT 1 4
PIT 0 15
PIT 1 0
PIT 0 0
PIT 1 0
PIT 0 1
PIT 1 1
PIT 0 2
PIT 1 0
PIT 0 3
PIT 1 0
PIT 0 4
PIT 1 1
PIT 0 5
PIT 1 3
PIT 0 6
PIT 1 1
PIT 0 7
PIT 1 5
PIT 0 8
PIT 1 3
PIT 0 9
PIT 1 1
PIT 0 12
PIT 1 6
PIT 0 10
PIT 1 0
PIT 0 11
PIT 1 1
PIT 0 12
PIT 1 4
PIT 0 14
PIT 1 2
PIT 0 15
PIT 1 0
PIT 0 0
PIT 1 1
PIT 0 1
PIT 1 3
PIT 0 2
PIT 1 4
PIT 0 6
PIT 1 1
PIT 0 9
PIT 1 0
PIT 0 10
PIT 1 2
PIT 0 11
PIT 1 1
PIT 0 12
PIT 1 0
PIT 0 13
PIT 1 1
PIT 0 14
PIT 1 2
PIT 0 15
PIT 1 3
PIT 0 0
PIT 1 0
PIT 0 1
PIT 1 2
PIT 0 2
PIT 1 3
PIT 0 9
PIT 1 6
PIT 0 10
PIT 1 7
PIT 0 11
PIT 1 8
PIT 0 12
PIT 1 0
PIT 0 13
PIT 1 1
PIT 0 14
PIT 1 3
PIT 0 15
PIT 1 1
PIT 0 0
PIT 1 2
PIT 0 1
PIT 1 4
PIT 0 2
PIT 1 1
PIT 0 9
PIT 1 4
PIT 0 10
PIT 1 3
PIT 0 11
PIT 1 1
PIT 0 12
PIT 1 2
PIT 0 13
PIT 1 3
PIT 0 14
PIT 1 6
PIT 0 15
PIT 1 4
PIT 0 0
PIT 1 5
PIT 0 1
PIT 1 9
PIT 0 2
PIT 1 1
PIT 0 9
PIT 1 4
PIT 0 10
PIT 1 8
PIT 0 11
PIT 1 2
PIT 0 12
PIT 1 3
PIT 0 13
PIT 1 1
PIT 0 14
PIT 1 1
PIT 0 15
PIT 1 2
PIT 0 0
PIT 1 3
PIT 0 1
PIT 1 0
PIT 0 2
PIT 1 1
PIT 0 9
PIT 1 2
PIT 0 10
PIT 1 3
PIT 0 11
PIT 1 4
PIT 0 12
PIT 1 1
PIT 0 13
PIT 1 0
PIT 0 14
PIT 1 1
PIT 0 15
PIT 1 2
PIT 0 0
PIT 1 0
PIT 0 1
PIT 1 1
PIT 0 2
PIT 1 2
PIT 0 9
PIT 1 0
PIT 0 11
PIT 1 1
PIT 0 12
PIT 1 0
PIT 0 13
PIT 1 1
PIT 0 4
PIT 1 2
PIT 0 14
PIT 1 4
PIT 0 8
PIT 1 1
PIT 0 10
PIT 1 0
PIT 0 12
PIT 1 1
PIT 0 15
PIT 1 2
PIT 0 11
PIT 1 6
PIT 0 0
PIT 1 0
PIT 0 1
PIT 1 1
PIT 0 2
PIT 1 2
PIT 0 5
PIT 1 0
PIT 0 6
PIT 1 1
PIT 0 7
PIT 1 2
PIT 0 8
PIT 1 0
PIT 0 9
PIT 1 1
PIT 0 10
PIT 1 2
PIT 0 11
PIT 1 4
PIT 0 12
PIT 1 5
PIT 0 14
PIT 1 7
PIT 0 0
PIT 1 0
PIT 0 4
PIT 1 3
PIT 0 5
PIT 1 1
PIT 0 13
PIT 1 1
PIT 0 15
PIT 1 2
PIT 0 0
PIT 1 3
PIT 0 1
PIT 1 15
PIT 0 6
PIT 1 4
PIT 0 7
PIT 1 2
PIT 0 8
PIT 1 0
PIT 0 11
PIT 1 1
PIT 0 9
PIT 1 2
PIT 0 12
PIT 1 3
PIT 0 15
PIT 1 4
PIT 0 0
PIT 1 5
PIT 0 3
PIT 1 6
PIT 0 1
PIT 1 0
PIT 0 4
PIT 1 1
GAMEOVER WINNER 1
# Game ended: Mon Mar 30 19:09:30 EDT 2015
